name,i2,i3,o1,i1,i4,o2
RZE_resampled_0,6.0,11.3,0.3,0.32,1.4,2.5
RZE_resampled_1,6.0,11.3,0.3,0.35,1.4,2.5
RZE_resampled_2,6.0,11.3,0.3,0.38000000000000006,1.4,2.5
RZE_resampled_3,6.0,11.3,0.3,0.2831401363039101,1.3978335439560567,2.52265895160984
RZE_resampled_4,6.0,11.3,0.3,0.32,1.38,2.5
RZE_resampled_5,6.0,11.3,0.3,0.35,1.35,2.5
RZE_resampled_6,6.0,11.3,0.3,0.38000000000000006,1.3199999999999998,2.5
RZE_resampled_7,6.0,11.3,0.3,0.3000768762907937,1.3536206610604709,2.443236002913714
RZE_resampled_8,6.0,11.3,0.3,0.32,1.42,2.5
RZE_resampled_9,6.0,11.3,0.3,0.35,1.45,2.5
RZE_resampled_10,6.0,11.3,0.3,0.38000000000000006,1.48,2.5
RZE_resampled_11,6.0,11.3,0.3,0.31147482924900405,1.433557732577124,2.608263749420773
RZE_resampled_12,6.0,11.3,0.3,0.33999999999999997,1.4,2.5
RZE_resampled_13,6.0,11.3,0.3,0.4,1.4,2.5
RZE_resampled_14,6.0,11.3,0.3,0.46,1.4,2.5
RZE_resampled_15,6.0,11.3,0.3,0.2611946457003136,1.427024469201286,2.5694370146431744
RZE_resampled_16,6.0,11.3,0.3,0.3,1.44,2.5
RZE_resampled_17,6.0,11.3,0.3,0.3,1.5,2.5
RZE_resampled_18,6.0,11.3,0.3,0.3,1.56,2.5
RZE_resampled_19,6.0,11.3,0.3,0.27812688634510596,1.4146728058622282,2.4894194519022066
RZE_resampled_20,6.0,11.3,0.3,0.32,1.6000000000000003,2.5
RZE_resampled_21,6.0,11.3,0.3,0.35,1.6,2.5
RZE_resampled_22,6.0,11.3,0.3,0.38000000000000006,1.6,2.5
RZE_resampled_23,6.0,11.3,0.3,0.2297197026361808,1.5700145617004895,2.5357025617741686
RZE_resampled_24,6.0,11.3,0.3,0.32,1.6200000000000003,2.5
RZE_resampled_25,6.0,11.3,0.3,0.35,1.65,2.5
RZE_resampled_26,6.0,11.3,0.3,0.38000000000000006,1.6800000000000002,2.5
RZE_resampled_27,6.0,11.3,0.3,0.2767451705750166,1.5712377131521424,2.4834181091940684
RZE_resampled_28,6.0,11.3,0.3,0.32,1.5800000000000003,2.5
RZE_resampled_29,6.0,11.3,0.3,0.35,1.55,2.5
RZE_resampled_30,6.0,11.3,0.3,0.38000000000000006,1.52,2.5
RZE_resampled_31,6.0,11.3,0.3,0.2659034747263188,1.5585670800665192,2.4867090805986436
RZE_resampled_32,6.0,11.3,0.3,0.33999999999999997,1.6000000000000003,2.5
